CustomerKey,Recency,Frequency,Monetary
11609,52,9,6872.1082
13616,68,8,6872.0581999999995
13960,22,7,6871.7396
13122,48,7,6871.4296
18158,42,4,6869.6125
12701,106,8,6868.4396
12688,104,6,6867.4396
14941,49,7,6865.57
12339,164,5,6865.4596
13091,74,6,6864.9496
13644,22,5,6864.4596
12346,118,5,6864.4596
12686,105,5,6864.4596
12658,246,7,6863.4396
13076,90,5,6862.138199999999
12700,82,7,6860.4396
12653,231,10,6860.0882
12676,130,5,6859.4596
14032,27,8,6859.4296
13959,35,8,6858.4182
12994,98,7,6855.4396
13139,54,7,6854.4496
12705,88,7,6854.1082
12706,88,9,6851.4096
12995,80,7,6850.5782
13078,61,6,6850.4596
13620,62,7,6848.0682
12645,275,6,6847.7596
12689,107,8,6846.9196
12637,260,6,6845.1182
13251,252,7,6844.4182
13080,73,9,6844.4082
13075,88,7,6843.9396
13646,40,8,6843.5982
13970,35,5,6843.138199999999
13103,52,8,6842.598199999999
13966,19,8,6842.1182
13622,74,7,6841.4296
13953,26,6,6840.7496
12341,127,7,6840.6182
12999,87,5,6840.4596
13160,55,5,6839.4596
12668,117,5,6839.4596
12347,112,6,6839.1182
13958,42,5,6838.638199999999
13632,28,5,6838.4596
12342,113,7,6838.1182
12644,269,7,6838.1182
13113,71,7,6832.4096
13638,37,7,6832.1182
13636,46,5,6831.7596
14020,35,5,6831.7596
13051,81,8,6831.7396
13117,66,6,6831.4182
12674,132,4,6829.4696
12990,105,4,6829.4696
13119,51,6,6829.4496
12263,18,8,6829.3796
12630,263,6,6825.4596
12210,64,6,6825.4496
13630,43,8,6824.729600000001
12317,296,9,6823.4196
13129,56,5,6823.1482
12693,83,5,6820.4696
13252,241,5,6820.4596
13411,229,5,6819.4596
14038,28,6,6819.1182
13011,101,7,6819.1082
12355,119,7,6818.1082
12648,258,8,6817.598199999999
13128,76,5,6817.138199999999
13645,29,8,6817.1182
13631,24,8,6817.1182
12989,100,8,6817.1182
13126,52,7,6815.0782
12667,120,7,6813.1182
13133,77,7,6813.1182
12675,122,5,6812.7696
13090,57,6,6812.4182
13649,30,7,6812.1282
13404,232,7,6812.1182
13651,25,7,6812.1182
12356,117,5,6810.1282
14033,30,5,6809.9596
12318,312,4,6808.1482
12996,104,4,6808.1482
14039,40,6,6808.1282
13619,53,8,6808.098199999999
13114,52,5,6807.4496
13964,28,5,6806.4496
11575,120,7,6806.1182
12687,87,4,6805.4696
14045,20,5,6804.128199999999
12214,28,8,6803.9182
13633,34,6,6803.138199999999
12315,306,6,6803.128199999999
12671,138,6,6802.1282
12683,115,5,6801.4496
13254,243,6,6801.128199999999
13089,63,6,6800.4496
13000,83,6,6799.4496
12316,301,6,6799.4496
13643,43,6,6799.4496
13001,97,7,6799.428199999999
12699,86,6,6798.128199999999
13130,56,5,6797.1482
12354,134,6,6797.1282
14949,41,5,6795.6
11612,57,6,6795.1182
15059,25,10,6793.54
13647,24,5,6793.1482
13408,232,8,6792.1182
12328,299,8,6792.1082
12350,111,6,6791.7496
12669,117,5,6791.0982
11568,116,5,6789.4596
12358,132,5,6787.7596
12634,265,5,6787.7596
12698,107,6,6786.7496
11610,74,6,6786.4396
11604,90,7,6786.1182
12677,115,4,6785.4696
12670,124,5,6785.128199999999
12694,97,5,6785.128199999999
12681,118,5,6784.1282
13115,71,7,6779.4182
13637,23,6,6777.1282
13253,232,6,6774.4496
13135,58,5,6773.138199999999
13081,58,5,6772.1482
12349,135,5,6772.138199999999
13971,21,6,6772.1282
11259,25,5,6770.599999999999
12673,131,5,6768.138199999999
13650,17,5,6768.138199999999
11603,98,5,6767.138199999999
13077,65,6,6766.6282
12353,138,5,6765.4596
13123,77,5,6765.4382
13648,23,5,6765.4382
13618,47,4,6763.1482
13006,107,4,6762.1482
12987,92,4,6759.4696
11263,35,9,6754.0599999999995
13079,74,6,6752.1282
12640,262,6,6752.1282
12340,113,6,6752.128199999999
14146,90,8,6750.5599999999995
12360,112,3,6750.479600000001
15056,44,9,6749.05
14846,65,7,6744.57
11191,69,7,6743.58
13131,52,4,6737.1482
15440,20,8,6736.5599999999995
14702,100,7,6729.57
14847,56,7,6725.57
11171,68,8,6716.55
11175,72,8,6710.55
14950,28,6,6709.59
14928,75,6,6706.57
14991,36,6,6706.57
14150,104,5,6705.59
11090,54,6,6704.08
14984,17,7,6699.57
14843,49,6,6690.58
15048,44,6,6690.58
14771,89,6,6689.58
11224,42,5,6685.59
11252,27,7,6685.5599999999995
15062,25,5,6684.59
14697,106,6,6684.58
14160,97,8,6679.7
14833,67,5,6679.6
14770,95,5,6679.59
11257,31,6,6677.38
15078,20,4,6675.599999999999
14778,58,7,6673.53
15077,26,7,6673.53
15047,26,7,6669.57
14525,80,6,6665.58
14712,102,5,6660.589999999999
14947,68,6,6658.58
14937,66,5,6652.89
14157,78,4,6650.6
15051,45,4,6650.6
15453,31,4,6650.599999999999
11261,22,4,6650.599999999999
14929,71,5,6646.58
15058,41,6,6639.58
11039,64,9,6636.58
13841,89,4,6624.6
11046,63,6,6616.8099999999995
14171,33,10,6615.7
15923,33,8,6592.78
11027,82,9,6591.57
11047,56,4,6582.33
11025,81,6,6576.799999999999
11026,91,7,6575.79
14163,41,7,6567.0199999999995
11029,64,7,6565.29
15921,109,7,6549.29
13541,198,9,6536.69
13771,91,10,6535.69
11018,82,7,6533.28
13540,171,9,6528.179999999999
11032,67,10,6525.5599999999995
13822,89,7,6523.21
12805,100,7,6522.219999999999
11044,67,7,6515.299999999999
13782,91,9,6512.19
13685,142,9,6509.69
13559,196,7,6508.71
12754,103,7,6503.2
13558,62,6,6500.219999999999
12398,119,6,6498.719999999999
11048,20,8,6498.24
14161,72,7,6497.21
13556,57,7,6497.21
11033,70,7,6495.29
13686,130,4,6493.24
12750,78,6,6491.73
11034,65,4,6491.32
12607,125,7,6489.509999999999
13697,136,7,6485.67
14164,40,7,6484.71
13555,104,9,6484.45
12620,110,7,6481.0199999999995
11031,62,6,6478.599999999999
11028,99,5,6474.62
14162,26,7,6473.7
11030,66,4,6471.32
12621,114,7,6471.21
13607,36,5,6465.03
14713,41,7,6461.71
13560,143,5,6453.23
11035,60,5,6451.3099999999995
12510,116,6,6441.0199999999995
11038,63,3,6437.33
14774,38,4,6434.74
11017,92,4,6434.3099999999995
13770,102,5,6428.23
11001,35,11,6383.879999999999
15710,176,7,6316.5025
15700,195,5,6247.532499999999
15920,178,5,6247.5225
15688,208,5,6221.522499999999
19614,250,5,6217.21
20452,187,6,6156.7
18696,314,7,6149.57
18336,26,7,6145.07
20622,156,5,6139.59
18746,314,5,6135.09
18338,33,6,6124.58
18242,354,5,6121.71
18496,302,5,6121.71
19960,214,4,6120.11
18297,322,5,6119.59
28259,23,6,6118.610000000001
20609,194,6,6117.69
17351,184,6,6117.69
20621,160,6,6117.69
18296,332,6,6117.69
19560,274,6,6117.69
28194,25,6,6114.81
18269,119,5,6113.2
19555,273,4,6110.599999999999
18276,137,4,6106.599999999999
18273,329,4,6104.21
18268,140,6,6102.19
19970,202,5,6099.099999999999
16740,334,5,6099.099999999999
19794,238,6,6098.58
18240,371,6,6098.58
18710,303,6,6098.58
19950,210,6,6098.54
18709,296,6,6098.54
19595,277,6,6095.08
18928,265,6,6095.08
17285,217,5,6093.2
20623,143,5,6093.2
19609,238,5,6093.2
19089,266,5,6093.2
19613,245,5,6093.2
19602,230,5,6093.2
20228,229,5,6093.2
20239,209,5,6093.2
19084,283,5,6093.2
18188,159,5,6093.2
18484,343,5,6093.2
18214,368,5,6093.2
18288,343,5,6093.2
20616,195,5,6093.2
19979,206,5,6090.59
19096,264,5,6090.59
16713,340,5,6090.59
18309,350,5,6090.59
18908,309,5,6090.59
16703,345,5,6090.59
18747,303,5,6089.59
18738,298,5,6089.59
19782,254,5,6089.59
20217,224,5,6089.59
17280,286,5,6089.59
19790,235,5,6089.59
18207,357,5,6089.59
20444,175,5,6085.59
20245,177,5,6085.59
17984,92,6,6083.169999999999
16688,381,4,6081.099999999999
18281,120,4,6081.099999999999
18489,318,4,6081.099999999999
11741,328,4,6079.24
11776,225,4,6079.24
20445,175,4,6078.71
19785,232,3,6076.61
11323,349,6,6074.54
17502,151,5,6070.59
18691,299,5,6070.59
18213,363,5,6070.59
16743,291,5,6070.59
18277,129,5,6070.59
16687,363,5,6070.59
16744,312,5,6070.59
20242,215,6,6068.45
18255,167,5,6067.2
20226,223,5,6067.2
18485,322,4,6063.21
28243,23,4,6060.83
20615,195,5,6060.5
18706,298,5,6060.5
19568,263,5,6060.5
16693,376,5,6060.5
19956,203,5,6060.5
22995,199,5,6060.5
20220,222,5,6060.5
20612,192,5,6060.5
20629,167,5,6060.5
19978,218,5,6060.5
17051,262,5,6060.5
18931,273,5,6060.5
15614,36,9,6059.179999999999
11295,370,5,6058.25
18241,361,4,6058.21
18243,372,4,6058.21
19789,259,4,6058.21
18250,349,4,6058.21
19576,274,4,6058.21
19791,257,4,6058.21
20617,149,4,6058.21
19105,263,3,6056.61
20628,162,3,6056.61
20613,183,3,6056.61
19596,264,3,6056.61
18491,291,3,6056.61
20247,173,3,6056.61
19095,280,3,6056.61
19975,199,3,6056.61
20600,180,3,6056.61
19588,287,3,6056.61
19586,287,3,6056.61
19959,205,3,6056.61
16741,300,3,6056.61
19965,202,3,6056.61
19964,210,3,6056.61
19971,213,3,6056.61
19793,251,3,6056.61
19773,239,3,6056.61
18272,346,3,6056.61
18301,351,3,6056.61
19792,243,3,6056.61
19559,283,3,6056.61
20430,172,3,6056.61
18740,309,3,6056.61
18209,370,3,6056.61
18217,367,3,6056.61
20225,212,3,6056.61
18205,370,3,6056.61
19788,247,3,6056.61
18483,335,3,6056.61
18488,316,3,6056.61
22893,335,4,6056.51
19947,247,4,6056.51
19958,200,4,6056.51
18708,311,4,6056.51
18724,315,4,6056.51
19787,259,3,6054.22
22903,260,3,6054.22
20451,182,3,6054.22
20227,206,3,6054.22
19949,250,3,6054.22
19607,253,3,6054.22
19963,215,3,6054.22
20606,179,3,6054.22
19611,231,3,6054.22
18731,300,4,6054.0599999999995
27645,56,5,6051.31
28255,31,5,6051.31
22112,328,4,6047.32
28031,56,4,6047.32
22252,167,4,6047.32
27663,59,4,6047.32
19795,241,5,6044.59
20219,228,5,6044.59
20448,190,5,6044.59
18210,359,5,6044.59
19977,229,5,6044.59
18222,360,5,6044.59
20627,144,5,6044.59
20620,143,5,6044.59
18725,294,5,6044.59
18249,343,5,6044.59
16742,306,5,6044.59
11325,348,7,6044.2
28288,18,6,6039.3
18219,360,4,6038.5599999999995
20626,152,4,6038.5599999999995
19099,271,4,6038.5599999999995
18494,310,5,6037.89
18248,323,5,6037.89
18308,345,5,6037.89
19577,263,5,6037.89
20614,187,4,6035.599999999999
18736,299,4,6035.599999999999
19093,289,4,6035.599999999999
18930,267,4,6035.599999999999
18909,291,4,6035.599999999999
18335,55,4,6035.599999999999
19628,251,4,6035.599999999999
19957,213,4,6035.599999999999
20447,172,4,6035.599999999999
18208,380,4,6035.599999999999
20246,198,4,6035.599999999999
18718,300,4,6035.599999999999
20253,172,4,6035.599999999999
20221,213,4,6035.599999999999
18694,317,4,6035.599999999999
18692,320,4,6035.599999999999
18260,322,4,6035.599999999999
19556,275,4,6035.599999999999
18251,345,4,6035.599999999999
17353,188,4,6035.599999999999
20608,171,4,6035.599999999999
22996,204,4,6035.599999999999
22268,141,5,6031.31
17315,207,3,6030.61
18246,373,3,6030.61
18482,344,3,6030.61
18303,329,3,6030.61
18238,354,3,6030.61
17309,221,3,6030.61
19772,241,3,6030.61
18239,382,3,6030.61
18695,295,3,6029.57
18493,301,3,6029.57
20256,181,3,6029.57
20258,185,3,6029.57
20259,179,3,6029.57
20213,223,3,6029.57
17354,184,3,6029.57
19102,261,3,6029.57
17310,223,3,6029.57
20625,159,3,6029.57
17286,225,3,6029.57
22895,351,3,6029.57
19558,270,3,6029.57
18212,376,3,6029.57
18490,294,3,6029.57
18929,274,3,6029.57
19967,203,3,6029.57
18284,322,3,6029.57
19612,236,3,6029.57
20446,180,3,6029.57
20456,171,3,6029.57
18302,343,3,6029.57
22785,378,3,6029.57
28244,32,5,6026.31
28063,74,5,6026.31
28152,25,4,6025.32
11707,235,5,6025.219999999999
12050,342,6,6023.73
23074,39,4,6021.82
23057,23,4,6021.82
28099,19,4,6021.82
28068,49,4,6021.82
27651,56,4,6021.82
18245,144,2,6021.62
18220,372,2,6021.62
19948,252,2,6021.62
19621,254,2,6021.62
19094,286,2,6021.62
19797,235,2,6021.62
20624,141,2,6021.62
17279,279,2,6021.62
17329,225,2,6021.62
19594,277,2,6021.62
18218,370,2,6021.62
18254,345,2,6021.62
20611,170,2,6021.62
18252,340,2,6021.62
17308,199,2,6021.62
17352,175,2,6021.62
20610,175,2,6021.62
19974,209,2,6021.62
19968,219,2,6021.62
18307,341,2,6021.62
19783,245,2,6021.62
18244,366,2,6021.62
18487,301,2,6021.62
19951,206,2,6021.62
18486,317,2,6021.62
18469,334,2,6021.62
19786,250,2,6021.62
19561,279,2,6021.62
18693,302,2,6021.62
18495,302,2,6021.62
20450,188,2,6021.62
18337,42,2,6021.62
18737,303,2,6021.62
20238,205,2,6021.62
18470,349,2,6021.62
20244,215,2,6021.62
18716,318,2,6021.62
19083,278,2,6021.62
16745,299,2,6021.62
16702,374,2,6021.62
19966,221,2,6021.62
18275,344,2,6021.62
19784,246,2,6021.62
18735,319,2,6021.62
12843,41,3,6018.26
17985,88,6,6016.66
28224,31,3,6016.33
28250,42,3,6016.33
27919,75,3,6016.33
28193,24,3,6016.33
11299,324,4,6015.24
13511,29,5,6012.23
12018,112,6,6011.74
28131,36,5,6011.31
28078,29,5,6011.31
27636,49,5,6011.31
16310,85,5,6010.159999999999
12079,196,8,6008.2
27668,64,6,6006.56
22182,200,4,6006.32
28061,74,4,6006.32
12118,170,8,6004.2
16495,40,6,6002.23
16404,79,6,6002.159999999999
17833,89,7,5999.45
11282,377,6,5998.73
12755,164,6,5998.719999999999
28240,23,5,5998.610000000001
27918,49,5,5998.610000000001
27615,67,5,5998.610000000001
27616,66,5,5998.610000000001
12041,197,6,5998.23
11539,295,6,5997.73
12103,299,6,5997.73
28067,57,3,5997.33
28070,36,3,5997.33
27606,56,3,5997.33
28065,60,3,5997.33
28066,51,3,5997.33
28156,38,3,5997.33
27920,68,3,5997.33
28158,21,3,5997.33
23113,42,3,5997.33
22233,214,3,5997.33
28190,41,3,5997.33
27669,69,3,5997.33
22881,57,3,5997.33
27662,73,3,5997.33
27671,62,3,5997.33
27646,55,3,5997.33
28268,31,3,5997.33
28296,33,3,5997.33
22121,231,3,5997.33
28264,34,3,5997.33
28191,43,3,5997.33
28285,27,3,5997.33
28076,21,3,5997.33
27667,47,3,5997.33
23114,35,4,5996.32
11796,229,7,5995.2
11934,218,5,5994.719999999999
12083,318,3,5993.26
12143,301,3,5993.26
14155,101,3,5993.26
12105,316,3,5993.26
22232,212,5,5985.31
28196,27,5,5985.31
28038,54,5,5985.31
12784,130,5,5985.219999999999
12084,179,6,5985.21
11854,213,8,5985.2
27623,69,5,5984.27
11270,372,5,5984.219999999999
12613,98,4,5983.74
12171,313,4,5983.74
11773,259,4,5983.74
12437,180,5,5983.219999999999
12779,145,5,5980.23
12789,109,5,5980.219999999999
12141,310,5,5979.219999999999
22765,126,5,5978.610000000001
28159,21,5,5978.610000000001
22247,184,5,5978.610000000001
15621,21,4,5977.74
12026,227,5,5976.74
14158,86,5,5976.74
11939,209,5,5976.74
13691,139,5,5976.74
14861,73,5,5976.74
27670,72,4,5976.32
28246,22,4,5976.32
28257,40,4,5976.32
27617,48,4,5976.32
22373,136,4,5976.32
22234,186,4,5976.32
28234,24,4,5976.32
12078,194,4,5975.23
12167,307,4,5975.23
11272,366,4,5975.23
12042,186,4,5975.23
12279,154,4,5974.23
16638,31,4,5974.23
11810,204,5,5973.24
12261,146,5,5973.24
12071,331,5,5973.24
16623,37,5,5973.24
16630,40,5,5973.24
13536,24,5,5973.24
12053,349,5,5973.24
11541,276,5,5973.24
11780,210,5,5973.24
11271,357,5,5973.24
13514,42,5,5973.24
11797,199,6,5972.73
27621,55,3,5971.33
22889,50,3,5971.33
28297,39,3,5971.33
22901,69,3,5971.33
27625,66,3,5971.33
22109,369,3,5971.33
